timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,
3.09811,-0.87149,-0.77812,9.35415,0.21863,-0.21277,1.41092,,,,
3.13775,1.00317,-0.53391,5.79157,-0.19332,-0.21743,1.45049,,,,
3.17739,1.20428,-0.54109,12.25831,-0.07554,0.03704,1.49019,,,,
3.21703,0.07901,3.04782,8.33182,0.17973,-0.33881,1.8667,,,,
3.25667,0.36392,-1.43652,8.94953,0.39623,-0.14376,1.90507,,,,
3.29632,-2.12845,-4.4604,5.92325,0.36519,-0.19838,2.1321,,,,
3.33595,-1.38145,-0.98881,7.96311,0.14336,0.09619,2.30503,,,,
3.37559,-3.32315,-2.37265,8.84658,-0.02958,-0.13296,2.35646,,,,
3.41523,-1.21386,-1.54426,10.73321,-0.15681,-0.05303,2.13929,,,,
3.45489,-1.61369,-0.92656,9.11473,0.0854,0.02971,1.67352,,,,
3.49455,-0.42856,0.62968,11.49456,0.14669,0.01745,1.22386,,,,
3.5342,1.62566,-0.52433,8.89206,-0.01306,0.15708,0.92143,,,,
3.57384,0.16041,1.00796,9.29669,-0.14549,-0.03904,0.94381,,,,
3.61349,-0.52194,-1.88663,9.67497,0.3464,0.13496,1.07931,,,,
3.65313,1.69749,-1.403,8.9208,-0.04623,0.12137,1.25744,,,,
3.69277,-0.93134,1.17076,9.72046,-0.12271,-0.28378,1.73747,,,,
3.73241,-0.84755,0.52433,9.76595,0.01279,-0.34121,1.85165,,,,
3.77205,-0.72065,-0.09098,9.64863,0.09872,-0.11764,1.4786,,,,
3.81169,0.53151,-1.05584,9.43794,-0.11072,-0.06355,1.16897,,,,
3.85133,0.99838,-0.39025,13.47696,0.36599,0.19905,1.5163,,,,
3.89097,1.41258,-0.15083,7.83383,-0.01092,-0.09379,1.1278,,,,
3.93061,1.51553,-0.84515,12.11945,0.07288,0.03984,1.40745,,,,
3.97025,1.55863,-3.39258,7.68778,0.1776,-0.04477,1.62609,,,,
4.0099,-1.15401,-3.33033,7.36696,0.07021,-0.23862,1.79649,,,,
4.04954,1.54187,-2.24576,9.64624,-0.12271,-0.14389,1.65886,,,,
4.08918,0.00958,1.14682,10.10353,-0.09393,-0.1343,2.12064,,,,
4.12883,2.81079,0.98402,7.762,0.01079,-0.16308,2.00167,,,,
4.16847,2.11887,0.79487,9.89524,0.20638,-0.16534,2.24028,,,,
4.20811,3.23935,5.01346,8.29351,0.06009,-0.14709,2.32875,,,,
4.24775,3.85466,5.57849,9.2488,0.2614,-0.01319,1.99221,,,,
4.28739,3.77566,2.26731,10.41717,0.36385,-0.07847,1.50445,,,,
