Timestamp (s),X Position (m),Y Position (m)
0.0,0.0,0.0
0.029787063598632812,-2.70449811522212e-07,-7.864601956377138e-09
0.06305456161499023,-2.5887848062551605e-06,-1.0206449927374868e-06
0.0962533950805664,-8.431807404579057e-06,-2.8758652604284628e-06
0.12929630279541016,-1.7909727482890173e-05,-4.3138085470237735e-06
0.162506103515625,-2.5808710272058102e-05,-4.8139466907991175e-06
0.195526123046875,-3.240181118369452e-05,-5.4641766953029015e-06
0.2285468578338623,-3.9879942852834844e-05,-7.995399034202344e-06
0.26143527030944824,-4.823940800458452e-05,-1.0540309784437107e-05
0.2945973873138428,-5.758257176839436e-05,-1.3417142393999861e-05
0.32750511169433594,-7.07715846887762e-05,-1.7132443764569438e-05
0.36063194274902344,-8.487932068016143e-05,-2.072821227621034e-05
0.39373207092285156,-9.77111774570853e-05,-2.595218221071017e-05
0.42699646949768066,-0.00010919362565196057,-3.180400523976187e-05
0.45999693870544434,-0.0001223058671895412,-3.701901552329261e-05
0.49304890632629395,-0.00014172334748532452,-4.361286779727027e-05
0.5262882709503174,-0.0001620352608921511,-5.026173726408418e-05
0.5593166351318359,-0.00018218799745309676,-5.717891119819064e-05
0.5923366546630859,-0.0002016737115980681,-6.520943060482168e-05
0.6252398490905762,-0.0002218330987082624,-7.274627917750403e-05
0.6587724685668945,-0.0002509272124570306,-8.085510121737627e-05
0.6918594837188721,-0.00029294819988818295,-9.018071241304145e-05
0.7249288558959961,-0.0003267533379961274,-9.822757205453693e-05
0.7579498291015625,-0.00034865407060069456,-0.00010603300888444676
0.79073166847229,-0.00036948733816695743,-0.00011575987058147071
0.8238248825073242,-0.0003910845951797648,-0.00012517292849183444
0.8568286895751953,-0.00041409957377680436,-0.00013409466292705694
0.8899180889129639,-0.0004392120660140102,-0.00014386118627360042
0.9233312606811523,-0.0004690073224278791,-0.00015309663427463477
0.9565000534057617,-0.0005061925903202669,-0.0001641105532798998
0.9897408485412598,-0.0005475388279117396,-0.0001750198235527606
1.0226140022277832,-0.0005748830429285844,-0.00018382201791529955
1.055351734161377,-0.0005859939499367141,-0.00019258320242809934
1.0884196758270264,-0.0006039400124271535,-0.00020351616114929464
1.1215159893035889,-0.0006323041806955362,-0.0002154305999536365
1.1546297073364258,-0.0006606376500360164,-0.00022818685044643968
1.1876893043518066,-0.0006794442918808207,-0.00023901371186043263
1.2206645011901855,-0.0006877975284150768,-0.00024997237927002505
1.25380277633667,-0.0007035713248790949,-0.0002621271220529738
1.2868733406066895,-0.000723226321047274,-0.0002735062810174928
1.3199310302734375,-0.000750506692874379,-0.0002837719026466906
1.353020191192627,-0.0007783184719289489,-0.00029377492052217136
1.3864612579345703,-0.0008118621161871787,-0.00030364564524666394
1.419527292251587,-0.0008528644402264059,-0.0003131382325922641
1.4524824619293213,-0.0008910300053858405,-0.00032431445748941996
1.4856011867523193,-0.0009306799944404353,-0.0003328218992961738
1.5186786651611328,-0.00097451854263788,-0.0003417307388158497
1.5517525672912598,-0.001016282453730845,-0.0003552022212210269
1.5849182605743408,-0.0010531492621897842,-0.00036760982786577097
1.6178667545318604,-0.001087904086629159,-0.00037814189579389454
1.6510512828826904,-0.001123177217545502,-0.0003903626612760404
1.6839063167572021,-0.0011529212256632957,-0.0004007929152274449
1.7168967723846436,-0.0011805096341186351,-0.00041273586328649867
1.7499935626983643,-0.0012161605855673238,-0.0004256318381282513
1.7832837104797363,-0.0012546674615430743,-0.00043683747864166285
1.8164317607879639,-0.0012928854569537363,-0.0004484127915820871
1.849647045135498,-0.0013408924520059414,-0.00046099544012596666
1.8826019763946533,-0.001390977758618741,-0.00047216604909002365
1.915673017501831,-0.001439691796437796,-0.00048290718260180534
1.948568344116211,-0.0014817573296822852,-0.0004939218723579333
1.9816009998321533,-0.0015331658923311438,-0.0005059276628639399
2.014688014984131,-0.0015752695775299189,-0.0005189674890496143
2.0479226112365723,-0.0015987244027985228,-0.0005301606890851084
2.0809874534606934,-0.001634402449461899,-0.0005413354374080968
2.1141905784606934,-0.001667761577196559,-0.0005522985154483966
2.1471407413482666,-0.0016973126649494996,-0.0005629055553984298
2.1801531314849854,-0.0017374340239991021,-0.0005734483462319602
2.2131848335266113,-0.0017623318816925625,-0.0005867532578829836
2.2462148666381836,-0.0017934142731760453,-0.0005988009602667871
2.2794206142425537,-0.0018202515796262103,-0.0006087886528791951
2.312467575073242,-0.001856415037599923,-0.0006207212107908214
2.346025228500366,-0.0019013959282878435,-0.0006314337418094034
2.3789827823638916,-0.0019467389119424555,-0.0006426290323179178
2.411987543106079,-0.0019935560464899695,-0.0006568471156749644
2.4449329376220703,-0.0020292156224036,-0.0006671889143237647
2.4780735969543457,-0.00206830504729443,-0.0006755783573965137
2.511282444000244,-0.002108039891614258,-0.0006891146348963443
2.54414701461792,-0.0021452849675450874,-0.0007015366307417404
2.5772035121917725,-0.002174902358009995,-0.0007127304468907107
2.6102893352508545,-0.0021952694699479687,-0.0007253660670347421
2.6433558464050293,-0.002223177196562586,-0.0007359112337450353
2.676588535308838,-0.0022615224716752594,-0.0007448451989318934
2.7098138332366943,-0.002306564107032909,-0.0007530730661945321
2.742492437362671,-0.002334132332524506,-0.0007627297414041451
2.77583646774292,-0.0023564823906235604,-0.0007737078110667327
2.8088066577911377,-0.0023898163433407954,-0.0007833688435430698
2.8416593074798584,-0.0024230985191868314,-0.0007926445806518648
2.874742269515991,-0.002464134360080259,-0.0008059424976395715
2.907855272293091,-0.002491810287689903,-0.0008207881531924655
2.940897226333618,-0.0025223137768252083,-0.0008314416604547199
